[ 2023-03-26 16:34:19,539 ] 27 root - INFO - Initializing encoder using inception
[ 2023-03-26 16:34:19,696 ] 39 root - ERROR - Error occurred: Expected more than 1 value per channel when training, got input size torch.Size([1, 768, 1, 1])
[ 2023-03-26 16:34:19,696 ] 126 root - ERROR - Error occurred: Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [30] error message[Expected more than 1 value per channel when training, got input size torch.Size([1, 768, 1, 1])]
[ 2023-03-26 16:34:19,696 ] 57 root - ERROR - Error occurred: Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [109] error message[Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [30] error message[Expected more than 1 value per channel when training, got input size torch.Size([1, 768, 1, 1])]]
[ 2023-03-26 16:47:27,614 ] 47 root - INFO - building vocabulary
[ 2023-03-26 17:02:26,487 ] 59 root - INFO - completed building vocabulary
[ 2023-03-26 17:02:26,489 ] 16 root - INFO - Tranforming data completed
[ 2023-03-26 17:02:26,490 ] 40 root - INFO - Initializing model
[ 2023-03-26 17:02:26,847 ] 44 root - INFO - Initializing model completed
[ 2023-03-26 17:02:26,848 ] 50 root - INFO - Finetuning cnn model
[ 2023-03-26 17:02:26,851 ] 46 root - INFO - Testing the correctness of an example
[ 2023-03-26 17:02:26,877 ] 108 root - INFO - Captioning images
[ 2023-03-26 17:02:26,877 ] 27 root - INFO - Initializing encoder using inception
[ 2023-03-26 17:02:26,941 ] 40 root - ERROR - Error occurred: index 1 is out of bounds for dimension 1 with size 1
[ 2023-03-26 17:02:26,942 ] 127 root - ERROR - Error occurred: Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [31] error message[index 1 is out of bounds for dimension 1 with size 1]
[ 2023-03-26 17:02:26,942 ] 57 root - ERROR - Error occurred: Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [110] error message[Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [31] error message[index 1 is out of bounds for dimension 1 with size 1]]
[ 2023-03-26 17:06:36,760 ] 47 root - INFO - building vocabulary
[ 2023-03-26 17:11:01,964 ] 47 root - INFO - building vocabulary
